Pokemon,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type1,Type2
Abomasnow,90,92,75,92,85,60,grass,ice
Absol,65,130,60,75,60,75,dark,
Aerodactyl,80,105,65,60,75,130,rock,flying
Aggron,70,110,180,60,60,50,steel,rock
Alakazam,55,50,45,135,95,120,psychic,
Altaria,75,70,90,70,105,80,dragon,flying
Ambipom,75,100,66,60,66,115,normal,
Ampharos,90,75,85,115,90,55,electric,
Arbok,60,95,69,65,79,80,poison,
Arcanine,90,110,80,100,80,95,fire,
Ariados,70,90,70,60,70,40,bug,poison
Armaldo,75,125,100,70,80,45,rock,bug
Articuno,90,85,100,95,125,85,ice,flying
Azelf,75,125,70,125,70,115,psychic,
Azumarill,100,50,80,60,80,50,water,fairy
Bastiodon,60,52,168,47,138,30,rock,steel
Bibarel,79,85,60,55,60,71,normal,water
Blastoise,79,83,100,85,105,78,water,
Blaziken,80,120,70,110,70,80,fire,fighting
Blissey,255,10,10,75,135,55,normal,
Breloom,60,130,80,60,60,70,grass,fighting
Bronzong,67,89,116,79,116,33,steel,psychic
Butterfree,60,45,50,90,80,70,bug,flying
Camerupt,70,100,70,105,75,40,fire,ground
Celebi,100,100,100,100,100,100,psychic,grass
Chansey,250,5,5,35,105,50,normal,
Charizard,78,84,78,109,85,100,fire,flying
Chatot,76,65,45,92,42,91,normal,flying
Clamperl,35,64,85,74,55,32,water,
Claydol,60,70,105,70,120,75,ground,psychic
Clefable,95,70,73,95,90,60,fairy,
Clefairy,70,45,48,60,65,35,fairy,
Cleffa,50,25,28,45,55,15,fairy,
Cloyster,50,95,180,85,45,70,water,ice
Cradily,86,81,97,81,107,43,rock,grass
Crawdaunt,63,120,85,90,55,55,water,dark
Cresselia,120,70,110,75,120,85,psychic,
Crobat,85,90,80,70,80,130,poison,flying
Dodrio,60,110,70,60,60,110,normal,flying
Donphan,90,120,120,60,60,50,ground,
Dragonite,91,134,95,100,100,80,dragon,flying
Drapion,70,90,110,60,75,95,poison,dark
Drifblim,150,80,44,90,54,80,ghost,flying
Dunsparce,100,70,70,65,65,45,normal,
Dusclops,40,70,130,60,130,25,ghost,
Dusknoir,45,100,135,65,135,45,ghost,
Electivire,75,123,67,95,85,95,electric,
Electrode,60,50,70,80,80,150,electric,
Empoleon,84,86,88,111,101,60,water,steel
Entei,115,115,85,90,75,100,fire,
Espeon,65,65,60,130,95,110,psychic,
Exeggutor,95,95,85,125,75,55,grass,psychic
Feraligatr,85,105,100,79,83,78,water,
Flareon,65,130,60,95,110,65,fire,
Floatzel,85,105,55,85,50,115,water,
Flygon,80,100,80,80,80,100,ground,dragon
Forretress,75,90,140,60,60,40,bug,steel
Gallade,68,125,65,65,115,80,psychic,fighting
Gardevoir,68,65,65,125,115,80,psychic,fairy
Gastrodon,111,83,68,92,82,39,water,ground
Gengar,60,65,60,130,75,110,ghost,poison
Glalie,80,80,80,80,80,80,ice,
Gliscor,75,95,125,45,75,95,ground,flying
Golduck,80,82,78,95,80,85,water,
Golem,80,120,130,55,65,45,rock,ground
Gorebyss,55,84,105,114,75,52,water,
Granbull,90,120,75,60,60,45,fairy,
Gyarados,95,125,79,60,100,81,water,flying
Hariyama,144,120,60,40,60,50,fighting,
Heatran,91,90,106,130,106,77,fire,steel
Heracross,80,125,75,40,95,85,bug,fighting
Hippowdon,108,112,118,68,72,47,ground,
Hitmonchan,50,105,79,35,110,76,fighting,
Hitmonlee,50,120,53,35,110,87,fighting,
Hitmontop,50,95,95,35,110,70,fighting,
Honchkrow,100,125,52,105,52,71,dark,flying
Houndoom,75,90,50,110,80,95,dark,fire
Huntail,55,104,105,94,75,52,water,
Hypno,85,73,70,73,115,67,psychic,
Infernape,76,104,71,104,71,108,fire,fighting
Jirachi,100,100,100,100,100,100,steel,psychic
Jolteon,65,65,60,110,95,130,electric,
Jumpluff,75,55,70,55,95,110,grass,flying
Jynx,65,50,35,115,95,95,ice,psychic
Kabutops,60,115,105,65,70,80,rock,water
Kangaskhan,105,95,80,40,80,90,normal,
Kingdra,75,95,95,95,95,85,water,dragon
Kingler,55,130,115,50,50,75,water,
Lanturn,125,58,58,76,76,67,water,electric
Lapras,130,85,80,85,95,60,water,ice
Latias,80,80,90,110,130,110,dragon,psychic
Leafeon,65,110,130,60,65,95,grass,
Lickilicky,110,85,95,80,95,50,normal,
Linoone,78,70,61,50,61,100,normal,
Lopunny,65,76,84,54,96,105,normal,
Lucario,70,110,70,115,70,90,fighting,steel
Ludicolo,80,70,70,90,100,70,water,grass
Lunatone,90,55,65,95,85,70,rock,psychic
Luxray,80,120,79,95,79,70,electric,
Machoke,80,100,70,50,60,45,fighting,
Magcargo,60,50,120,90,80,30,fire,rock
Magmortar,75,95,67,125,95,83,fire,
Magneton,50,60,95,120,70,70,electric,steel
Magnezone,70,70,115,130,90,60,electric,steel
Mamoswine,110,130,80,70,60,80,ice,ground
Manectric,70,75,60,105,60,105,electric,
Marowak,60,80,110,50,80,45,ground,
